Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
6/24/2016,, RUTA 12 Y ENTRADA PARQUE DE UTE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 5, LAVALLEJA, SIN DATOS, 663615, 6190350 
5/6/2016,, RUTA 40 KM. 99, DESPISTE, SIN LESIONADOS, VIERNES, 17, LAVALLEJA, SIN DATOS, 628905, 6208600 
12/23/2016,, JULIO FRADE , CAÍDA, GRAVE, VIERNES, 2, MALDONADO, SIN DATOS, 691580, 6148075 
4/19/2016,, GENERAL JUSTINO MUNIZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, CERRO LARGO, MELO, 766350, 6415400 
9/16/2016,, NO SE INGRESO, DESPISTE, LEVE, VIERNES, 10, CERRO LARGO, SIN DATOS, 770970, 6401990 
1/1/2016,, RUTA 13 KM 202, COLISIÓN CON OBSTÁCULO EN CALZADA, GRAVE, VIERNES, 8, ROCHA, SIN DATOS, 733940, 6226730 
6/3/2016,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, MALDONADO, MALDONADO, 686495, 6135935 
2/26/2016,, ARROYO LA PALMA , CAÍDA, LEVE, VIERNES, 23, ROCHA, SIN DATOS, 758750, 6169765 
5/20/2016,, ROCHA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 18, ROCHA, LASCANO, 758815, 6270555 
12/23/2016,, BASILIO ARAUJO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 5, TREINTA Y TRES, TREINTA Y TRES, 743425, 6319820 
1/20/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 7, TREINTA Y TRES, SIN DATOS, 730060, 6333710 
1/22/2016,, , COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, VIERNES, 23, MALDONADO, SIN DATOS, 680840, 6157600 
11/11/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, VIERNES, 16, ROCHA, SIN DATOS, 802440, 6216040 
2/19/2016,, ITUZAINGO, DESPISTE, SIN LESIONADOS, VIERNES, 11, ROCHA, ROCHA, 744770, 6182110 
9/9/2016,, HECTOR GUTIERREZ RUIZ, CAÍDA, LEVE, VIERNES, 10, MALDONADO, MALDONADO, 686900, 6135825 
11/15/2016,, DOCTOR F. MARTINEZ RODRIGUEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, ROCHA, ROCHA, 744980, 6182495 
11/18/2016,, INTENDENTE LOIS Y ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 8, LAVALLEJA, MINAS, 661465, 6194930 
7/1/2016,, , DESPISTE, SIN LESIONADOS, VIERNES, 9, TREINTA Y TRES, SIN DATOS, 807335, 6369800 
2/12/2016,,  RUTA DIEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 11, MALDONADO, PUNTA BALLENA, 678150, 6138575 
4/6/2016,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 22, CERRO LARGO, MELO, 765910, 6415135 
3/18/2016,, RUTA 14, CAÍDA, LEVE, VIERNES, 0, LAVALLEJA, JOSE PEDRO VARELA, 730005, 6295080 
12/2/2016,, PERTUSO (CONTINUACION 18 DE JULIO) Y M.RODRIGUEZ, CAÍDA, LEVE, VIERNES, 22, ROCHA, ROCHA, 744240, 6181780 
8/2/2016,, CARLOS REYLES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, MALDONADO, SAN CARLOS, 690710, 6147850 
7/13/2016,, RUTA 8 KM 270, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 0, TREINTA Y TRES, SIN DATOS, 735085, 6308230 
