Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/18/2016,, DOCTOR EMILIO FRUGONI, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 17, COLONIA, COLONIA DEL SACRAMENTO, 423465, 6186385 
11/14/2016,, ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, FLORIDA, FLORIDA, 572205, 6226650 
12/20/2016,, AVDA RIO DE LA PLATA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 22, SAN JOSE, PLAYA PASCUAL, 549940, 6154735 
7/25/2016,, DOCTOR O. GONZALEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, FLORIDA, FLORIDA, 572005, 6227315 
5/16/2016,, ELLAURI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, CANELONES, SIN DATOS, 571795, 6156405 
5/23/2016,, GENERAL JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, SAN JOSE, SAN JOSE DE MAYO, 527365, 6200395 
1/4/2016,, RUTA INTERBALNEARIA y CALLE 19, ATROPELLO DE PEATÓN, FATAL, LUNES, 17, CANELONES, PARQUE DEL PLATA, 617440, 6153635 
10/28/2016,, LUIS DREYER, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, COLONIA, NUEVA HELVECIA, 478480, 6205910 
4/5/2016,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, CANELONES, PANDO, 595130, 6157340 
4/4/2016,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 23, SAN JOSE, SIN DATOS, 547880, 6157925 
11/4/2016,, SOLIS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 23, CANELONES, PANDO, 594820, 6157655 
8/22/2016,, CARRETERA VOULINOT KM 84 A 30 METROS  POR CAMINO VECINAL ENTRADA A ESTABLECIMIENTO FRIPUR  , DESPISTE, SIN LESIONADOS, LUNES, 14, SAN JOSE, SIN DATOS, 514635, 6173035 
11/28/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, CANELONES, PARQUE DEL PLATA, 618430, 6153920 
12/5/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, SAN JOSE, SIN DATOS, 518470, 6179345 
11/28/2016,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 15, FLORIDA, ALEJANDRO GALLINAL, 634235, 6252195 
9/12/2016,, RINCON, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 12, SORIANO, MERCEDES, 403120, 6320170 
4/11/2016,, FRANCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, CANELONES, EL PINAR, 598855, 6149080 
2/22/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 6, CANELONES, SIN DATOS, 590415, 6162265 
11/7/2016,, TISCORNIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 3, CANELONES, SIN DATOS, 570175, 6153790 
5/20/2016,, BALTASAR BRUM, CAÍDA, GRAVE, VIERNES, 10, DURAZNO, DURAZNO, 544375, 6306865 
11/14/2016,, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 15, CANELONES, LA FLORESTA, 621045, 6153930 
5/10/2016,, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, COLONIA, ROSARIO, 467795, 6202840 
9/26/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 19, SORIANO, SIN DATOS, 391165, 6293760 
7/4/2016,, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 17, CANELONES, SIN DATOS, 572985, 6159375 
5/2/2016,, JUAN J. CARDOZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, FLORIDA, FLORIDA, 571990, 6226580 
11/7/2016,, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, PANDO, 594885, 6157780 
12/5/2016,, SILVESTRE BLANCO, ATROPELLO DE ANIMALES, LEVE, LUNES, 17, SAN JOSE, SAN JOSE DE MAYO, 525565, 6200235 
1/25/2016,, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 9, COLONIA, SIN DATOS, 443225, 6193005 
2/1/2016,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, COLONIA, COLONIA DEL SACRAMENTO, 422995, 6186000 
2/1/2016,, RUTA CINCO VIEJA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 3, CANELONES, SIN DATOS, 571795, 6159470 
9/5/2016,, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, CANELONES, SIN DATOS, 567795, 6179795 
7/18/2016,, P. TUBORAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, DURAZNO, DURAZNO, 544515, 6306905 
4/4/2016,, ELIAS REGULES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, SIN DATOS, 571905, 6158490 
11/14/2016,, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 13, SAN JOSE, SIN DATOS, 507085, 6188255 
3/2/2016,, JOSE ENRIQUE RODO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, SORIANO, MERCEDES, 404135, 6320485 
6/27/2016,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, CANELONES, PARADA CABRERA, 568315, 6168160 
3/8/2016,, DOCTOR RUBINO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 21, DURAZNO, DURAZNO, 545090, 6305560 
10/3/2016,, RUTA 11 km. 110.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 8, CANELONES, SIN DATOS, 576475, 6180275 
12/2/2016,, LAS VIOLETAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 21, CANELONES, BARROS BLANCOS, 591135, 6153400 
11/8/2016,, UTE 5, ATROPELLO DE ANIMALES, LEVE, MARTES, 17, FLORIDA, MENDOZA CHICO, 572095, 6210815 
