Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
9/26/2016,, PAVON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 578400, 6142595 
7/6/2016,, CHINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 13, MONTEVIDEO, MONTEVIDEO, 568040, 6139885 
7/25/2016,, RAMBLA FRANKLIN ROOSEVELT, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 573400, 6137785 
5/30/2016,, LARRAVIDE, ATROPELLO DE PEATÓN, GRAVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 579215, 6140075 
12/19/2016,, BOULEVARD APARICIO SARAVIA, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 572580, 6146210 
4/25/2016,, CAMINO PASO DE LA ESPAÑOLA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 579300, 6147550 
4/4/2016,, PEDERNAL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 575415, 6140490 
6/20/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 575920, 6141780 
3/23/2016,, AVENIDA MARISCAL FRANCISCO SOLANO LOPEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, MONTEVIDEO, MONTEVIDEO, 579810, 6138760 
3/16/2016,, JOSE ENRIQUE RODO, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 12, MONTEVIDEO, MONTEVIDEO, 576020, 6137390 
10/18/2016,, GRECIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 568485, 6140260 
11/22/2016,, GABRIEL PEREIRA, CAÍDA, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 577415, 6137180 
1/11/2016,, DOCTOR ALFREDO NAVARRO, CAÍDA, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 577885, 6138175 
5/25/2016,, BOULEVARD APARICIO SARAVIA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 578215, 6145140 
5/3/2016,, CAMINO TENIENTE RINALDI, CAÍDA, LEVE, MARTES, 15, MONTEVIDEO, MONTEVIDEO, 576820, 6145950 
5/9/2016,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 577580, 6139490 
11/28/2016,, AVENIDA LUIS BATLLE BERRES, ATROPELLO DE ANIMALES, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 565195, 6145660 
8/15/2016,, AGUSTIN ABREU, ATROPELLO DE PEATÓN, SIN LESIONADOS, LUNES, 9, MONTEVIDEO, MONTEVIDEO, 577800, 6139720 
7/5/2016,, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 9, MONTEVIDEO, MONTEVIDEO, 578595, 6145180 
7/27/2016,, AVENIDA BOLIVIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 8, MONTEVIDEO, MONTEVIDEO, 583600, 6139935 
8/8/2016,, CARAFI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 571005, 6146040 
1/25/2016,, SMIDEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 578670, 6142565 
1/5/2016,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, MONTEVIDEO, MONTEVIDEO, 585180, 6140080 
5/9/2016,, CUFRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 575890, 6139025 
8/8/2016,, CAMINO PASO DE LA BOYADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 568090, 6142360 
3/1/2016,, AVENIDA GENERAL GARIBALDI, CAÍDA, LEVE, MARTES, 22, MONTEVIDEO, MONTEVIDEO, 575570, 6140025 
11/8/2016,, EMANCIPACION, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, MONTEVIDEO, MONTEVIDEO, 571665, 6142980 
10/17/2016,, RAMBLA REPUBLICA DEL PERU, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 578490, 6136655 
5/2/2016,, HOCQUART, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 575325, 6138890 
4/11/2016,, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 568125, 6140610 
8/8/2016,, JUAN JACOBO ROUSSEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 579025, 6141405 
1/25/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 578360, 6139560 
2/15/2016,, AVENIDA AGRACIADA, DESPISTE, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 571535, 6142370 
9/26/2016,, GENERAL TIMOTEO APARICIO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 579420, 6140890 
12/21/2016,, ISIDRO FYNN Esq. CAMINO MANUEL FORTET, ATROPELLO DE PEATÓN, FATAL, MIÉRCOLES, 23, MONTEVIDEO, MONTEVIDEO, 572105, 6147195 
10/26/2016,, RAMBLA REPUBLICA DE FRANCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 572190, 6136460 
2/3/2016,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 571655, 6145565 
2/29/2016,, RUTA NACIONAL OCHO, ATROPELLO DE PEATÓN, GRAVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 582265, 6146355 
4/11/2016,, AVENIDA OCHO DE OCTUBRE, CAÍDA, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 577070, 6139385 
5/23/2016,, CAMINO EDISON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 571425, 6146605 
