Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
6/24/2017,, GENERAL DIEGO LAMAS, CAÍDA, LEVE, SÁBADO, 5, TACUAREMBO, TACUAREMBO, 594045, 6490065 
2/25/2017,, VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 22, TACUAREMBO, TACUAREMBO, 596560, 6491000 
9/30/2017,, ZORRILLA DE SAN MARTIN, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 9, PAYSANDU, PAYSANDU, 398335, 6424685 
10/21/2017,, LIBERTAD, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, PAYSANDU, PAYSANDU, 397265, 6423995 
2/25/2017,, WILSON FERREIRA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 13, TACUAREMBO, ANSINA, 645350, 6471860 
10/28/2017,, GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 9, SALTO, SALTO, 406930, 6525480 
3/4/2017,, AVENIDA SORIANO, CAÍDA, LEVE, SÁBADO, 18, PAYSANDU, PAYSANDU, 398630, 6422830 
3/11/2017,, A. PEREIRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, TACUAREMBO, TACUAREMBO, 595910, 6488760 
1/28/2017,, AVENIDA ARMANDO I BARBIERI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, SALTO, SALTO, 408830, 6527570 
4/29/2017,, VEINTICINCO DE AGOSTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, RIO NEGRO, FRAY BENTOS, 377375, 6334655 
4/8/2017,, GENERAL MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, TACUAREMBO, TACUAREMBO, 595825, 6491135 
12/9/2017,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, TACUAREMBO, TACUAREMBO, 596500, 6490790 
8/26/2017,, AVENIDA VEINTICINCO DE MAYO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 11, RIO NEGRO, FRAY BENTOS, 377365, 6334800 
6/24/2017,, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, PAYSANDU, PAYSANDU, 398085, 6422900 
5/24/2017,, RUTA TRES, DESPISTE, LEVE, MIÉRCOLES, 18, SALTO, SIN DATOS, 411565, 6522445 
6/10/2017,, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 7, RIVERA, RIVERA, 639775, 6580550 
3/4/2017,, LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 17, TACUAREMBO, TACUAREMBO, 596835, 6491290 
12/23/2017,, RAMON DE CACERES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, TACUAREMBO, TACUAREMBO, 596650, 6489865 
10/7/2017,,  RUTA TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, ARTIGAS, BELLA UNION, 443080, 6652980 
12/2/2017,, CARLOS GARDEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, TACUAREMBO, TACUAREMBO, 597285, 6490010 
4/29/2017,, JUAN ORTIZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 1, TACUAREMBO, TACUAREMBO, 597125, 6490875 
12/23/2017,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 19, RIVERA, RIVERA, 636995, 6579135 
3/4/2017,, AVENIDA SARANDI, CAÍDA, LEVE, SÁBADO, 18, RIVERA, RIVERA, 639600, 6580665 
1/14/2017,, AVENIDA BRASIL, CAÍDA, SIN LESIONADOS, SÁBADO, 11, RIVERA, RIVERA, 639500, 6580120 
5/27/2017,, JUAN ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, TACUAREMBO, TACUAREMBO, 597985, 6493280 
