Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, X, Y 
1/7/2017,, DIAGONAL 3, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, CANELONES, PARQUE DEL PLATA, 617555, 6152815 
2/4/2017,, GENERAL ARTIGAS (Ex. RUTA 5) KM. 27.500, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 5, CANELONES, PROGRESO, 571820, 6162875 
3/18/2017,, Dr. LUIS BATLLE BERRES Esq. Av. GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 13, CANELONES, SIN DATOS, 570715, 6156815 
11/11/2017,, Ruta 1 y Fernando .J. Carballo (ROTONDA), COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 11, COLONIA, COLONIA DEL SACRAMENTO, 425145, 6187080 
11/4/2017,, RUTA 1 KM 33.000, ATROPELLO DE PEATÓN, FATAL, SÁBADO, 9, SAN JOSE, PLAYA PASCUAL, 549860, 6156250 
3/18/2017,, CAMINO AL PARQUE BONOMI , ATROPELLO DE PEATÓN, FATAL, SÁBADO, 18, CANELONES, SIN DATOS, 585550, 6167425 
9/9/2017,, Ruta Interbalnearia Km 62.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 15, CANELONES, SIN DATOS, 629010, 6152630 
12/23/2017,, RUTA 101 KM 21.900, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 10, CANELONES, AEROPUERTO INTERNACIONAL DE CARRASCO, 590610, 6146160 
12/30/2017,, CAMINO PASO DEL MEDIO HACIA RUTA 67, DESPISTE, FATAL, SÁBADO, 6, CANELONES, SIN DATOS, 576145, 6163220 
12/23/2017,, COLONIA ESQ. JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 4, COLONIA, FLORENCIO SANCHEZ, 465795, 6251680 
5/6/2017,, MARTIN ETCHEGOYEN ESQ. GUSTAVO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 13, DURAZNO, DURAZNO, 544290, 6305405 
6/3/2017,, RUTA 8 KM 24.300, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 15, CANELONES, BARROS BLANCOS, 590105, 6152920 
3/4/2017,, RUTA 21, COLISIÓN ENTRE VEHÍCULOS, FATAL, SÁBADO, 6, COLONIA, SIN DATOS, 421700, 6198085 
